MENSAJES;POLARIDAD
buen dias companer excelent trabaj tambi ide hac el jav mas perfect;positivo
comp dej asi;positivo
pens si mism document deb compart driv;positivo
clar ten 8 comentari sub el;positivo
ok entonc deb esper comentari dem companer;positivo
moment voy sub autoevaluacion coevaluacion diari personal entreg final;positivo
acuerd companer ver bien asi;positivo
buen comp esper mas aport;positivo
sergi;positivo
comp algui ayud coevaluacion cad usted envi sol archiv pdf general;positivo
coevaluacion sol grup autoevaluacion cad;positivo
elvis coevaluacion cad integr grup envi sol archiv autoevaluacion evaluacion;positivo
correct tutor lueg analic bien record asi hac entreg hac anoch much graci;positivo
perfect cre deb anad aport algoritm companer danil freir;positivo
salud estim companer seman invit dej comentari hac cambi document public el nuev googl driv vez seudocodig scrip companer danil freir;positivo
companer olvid coment;positivo
list companer voy analiz el miercol juev hac aport;positivo
gran aport deb inclu analiz companer;positivo
tutor envi corre tare segund bimestr ped maner especial sub solucion puzzl nombr person interven solucion;positivo
cad deb sub mism archiv sol companer cre pagin;positivo
hol buen noch seri mejor cad sub archiv graci infinit;positivo
salud estim docent notificacion ejercici medi hac lleg favor indiqu;positivo
qued excelent companer;positivo
bien mision cumpl;positivo
companer compart comentari miguel moren qued excelent;positivo
gust document llev caratul logotip univers;positivo
buen noch companer;positivo
coment teni corre googl habi utiliz aplicacion googl driv;positivo
buen noch companer va;positivo
compart carpet vari archiv utiliz trabaj result util pues necesit llev memori archiv;positivo
bien graci estim lideres;positivo
graci companer;positivo
coment teni aplicacion vari problem instal el comput logr guard vari archiv aplicacion inclus cre carpet indic tutor;positivo
nombr cre carpet;positivo
quer companer dec exact nombr follet dec cre carpet archiv cuent wwwdropboxcom googl driv;positivo
diar manan voy usar hoj electron;positivo
companer comprend refer;negativo
solucion activ recomend;positivo
companer contest pregunt tutor especific nombr carpet;positivo
ok refier activ dec hoj rut deb realiz;positivo
si companer mism pued pon nombr pref;positivo
definicion trabaj realiz solucion activ recomendad document grup;positivo
buen estim comp estar pendient cualqui informacion;positivo
par bien estim companer;positivo
companer estar alli;positivo
bien companer;positivo
hol buen noch graci aprob solicitud;positivo
hol quer tutor buen noch;positivo
amig salud;positivo
salud companerit;positivo
bien companer trabaj grup;positivo
asi;positivo
ejercici 513 agu beb cas amarill zebr viv cas verd;positivo
amig compart solucion ejercici propuest text bas inteligent artificial;positivo
amig buen noch cre nuev imag grup propong cad aport ide elijam format porf estancarn parec;positivo
refer port companer;positivo
clar si amig;positivo
baj lienz;positivo
cad propong ide;positivo
si algui imag favor compart el;positivo
sugerent imag;positivo
si porf amig;positivo
amig consult tutor agreg grup;positivo
cre deb abrir candadit cerr pod agreg tutor companer lid ayuden requer tutor;positivo
porf amig envi el invitacion;positivo
tutor;neutro
tutor grup companer;positivo
hol companer compart solucion ejercici present adjunt salud;positivo
graci compart solucion ejercici grup precis opin solucion present elabor solucion definit;positivo
desarroll ejercici import clar variabl domini restriccion facilit ir constru tabl valor indic relacion variabl asi mism recuerd deb elabor unic solucion puzl;positivo
solucion companer buen felicit;positivo
concuerd solucion pues zebr viv cas 5 beb agu primer cas pued evidenci tom cuent tod restriccion;positivo
asi amig sol consult estrategi lleg solucion;positivo
buen contar cas personal primer hac busc color cad cas;positivo
cas procedi realiz problem 513 usar sistem red semant sistem manten verd adicion sistem comparacion color mejor entend;positivo
amig deb realiz intercambi ide lleg solucion ejercici 513;positivo
recuerd deb compart solucion personal puzl;positivo
asi estim tutor;positivo
resolucion ejercici solucion norueg beb agu cas amarill peimer cas zebr quint cas;positivo
companer bas cuadr ir opin cad resolvi ejercici fin hac document conjunt entreg integr;positivo
dec companer dav pazmin zebr viv nacional japones van beb nacional norueg primer cas att juan josu ceden romul;positivo
ubicacion cas segun color;positivo
beb agu cas amarill zebr viv cas color verd;positivo
buen explicacion punt vist cas tom nacional compaer josu luis s m bien felicit;positivo
coinc ide principal comenz sab ubic color respect cas explicacion bien detall;positivo
part tom referent inicial norueg color cas lueg dem color;positivo
companer sugier coment pas hac resolucion ejercici qued registr tambi serv hac document final deb entreg maner grupal;positivo
amig estar buen tard favor compart resolucion problem form entregu result conjunt;positivo
felicit companer josu luis s m propong solucion tom mejor grup dec comp;positivo
bien fundament pued tom ejercici general grup sub nub segun especific pdf dar tutor;positivo
amig form especial favor pareci ejercisi;positivo
part mas complic top;positivo
informacion desorganiz vuelv tedios realiz solucion ejercici asi puzzl ir pacienci encontr respuest salud att juan ceden romul;positivo
verd si amig;positivo
logr lleg solucion form conjunt graci;positivo
part coment dificil encontr solucion;positivo
cas encontr confus despu coloc color cas nacional lleg punt prob cigarrill si pertenec cas u;positivo
cre mayori top problem part punt refer estim companer angel suriag indici realiz solucion vag dificil encontr;positivo
josu luis sagb error mio referi perr espanol habi mas informacion sab pertenec toc hac prueb error sab cas toc;positivo
asi companer toc hac prueb espanol bien pod cas verd cas azul;positivo
anim amig nadi dec seri facil ahor sol qued lleg acuerd solucion si algun amig grup algun sugerent favor coment ser bienven cualqui aport grup;positivo
josu luis sagb confer pens deb hac tabl cad literal solucion explic solucion;positivo
respect cas analic literal busc mejor altern dec mejor pist sol podri ten variabl empez ejercici ejempl tom literal norueg viv primer cas izquierd;positivo
verd inici personal inici identificacion color cad cas nacional hac facil resolv ejercici med avanz necesit literal encontr solucion cad column sucedi;positivo
pes cre mayori concuerd mism solucion cre verd;positivo
josu luis sagb verd concord solucion;positivo
seri solucion problem lleg mism conclucion;positivo
concuerd solucion pues zebr viv cas 5 beb agu primer cas pued evidenci tom cuent tod restriccion;positivo
cas procedi realiz problem 513 usar sistem red semant sistem manten verd adicion sistem comparacion color mejor entend;positivo
cambi confundi vari ocasion orden color respect cas sabi si cas color marfil numer 3 numer 4;positivo
utiliz sistem comparacion color logr resolv problem;positivo
amig aport solucion trabaj grupal;positivo
graci s usted lid grup trabaj final;positivo
qued excelent;positivo
bien;positivo
parec desarroll trabaj ser exit agradec esfuerz realiz lid grup;positivo
asi amig graci;positivo
realment pareci interaccion companer;positivo
companer aun pued ajust aun mas sulucion hac 7 13;positivo
clar si amig;positivo
felicit companer trabaj grupal exit;positivo
much graci companer;positivo
hol companer dej enlac interes;positivo
recuerd coment ejercisi companer;positivo
ejercici ser resuelt acuerd form lleg sol format;positivo
exact;positivo
archiv ser consolid verific cad miembr grup;positivo
salud;positivo
miembr grup encontr inclu port document entreg tutor;positivo
companer activ deb realiz;positivo
companer primer deb realiz maner personal practic 9 encontr doc practic proces palabr;positivo
adicional companer hac aport pas deb segu coloc encabez pie pagin document word;positivo
companer insert numer pagin pie pagin elimin;negativo
companer icon mostr opcion pie pagin opcion pued eleg ingres insert pie pag nro;positivo
si companer opcion dec pie pagin lasqu aparec mostr dec alfabet pued usar insert text algun numeracion resspect cad hoj;positivo
much graci companer;positivo
hey companer buen tard ir trabaj;positivo
companer aqui dej explicacion vist prelimin text;positivo
efect companer tambi habi envi corre profesor pued unir grup si contact facebook pod anad el mejor;positivo
solucion compart el grup juan pabl;positivo
voy alcanz sin 12 companer;negativo
clar adel;positivo
estari entorn agent;positivo
estim xavi favor ayud organizacion grup;positivo
estim walt invit companer grup aun unid mientr avancem dos rat subir contribucion rea;positivo
ok xavi;positivo
companer localiz companer integr grup;positivo
jimmy tambi envi el link grup via corre tutor mail dijarautpleduec;positivo
despu deb trabaj document iri pas segu;positivo
trabaj document aport ide cre sol trabaj;positivo
inici primer pas;positivo
primer comenzam entrar word dar clic palabr insert;positivo
digit text configur marg;positivo
asi;neutro
vez hech proc edit encabez pie pagin;positivo
ir opcion inset aparecer cuadr dir encabez pie pagin dar clic estil des;positivo
cambi fuent document;positivo
lueg escrib va aparec encabez dar clic cerr encabez pie pagin;positivo
hac vist prelimin text;positivo
ok ahi hac resum;positivo
lleg sol ide;positivo
ahi tom ide hac el sol;positivo
lueg insert numer pagin;positivo
proced hac acuerd quer sol pagin document;positivo
pon pie pagin pas segu simil encabez;positivo
pas pon word sub aqui grup facebook mand corre profesor lei dec 5 noviembr sub dcto eva;positivo
esper respond profesor mensaj pregunt pod sub trbag;positivo
companer aqui dej link habi dej intern;positivo
companer lei informacion link envi;positivo
ok mism link habi envi meseng;positivo
clar sirvi aprend;positivo
ok companer bien entonc;positivo
buen noch felicit lind port;positivo
much graci licenci;positivo
companer envi mensaj eva companer lament respond;positivo
ahor hac trabaj si companer respond;positivo
companer recuerd q aport realiz trabaj olvid chequ bien document eva encontr indic trabaj;positivo
buen noch estim companer prof igual maner present llam juan carl caluguillin gust pod trabaj usted igual cuid quit sig administracion banc finanz dispuest dar saqu mejor provech oportun brind prof trabaj junt entonc contact ver segu trabaj buen noch;positivo
buen tard llam lizbeth chel provinci orellan estudi carrer educacion infantil plac trabaj usted equip part aportar contact ver trabaj;positivo
companer trabaj bien falt hac trabaj ocsa companer falt elig secretari;negativo
much graci companer hac trabaj tambi revis asi sab opinion;positivo
seri import pon port relacion tem asignatur;negativo
va companer favor proced eleccion secretari ide realiz eleccion;positivo
mmmm hab hac;positivo
algui pued ofrec seri maa sencill;positivo
ok graci comp;positivo
ok ccompaner graci colaboracion ahor si mas man obra;positivo
coevluacion autoevaluacion cre deberi hac el final trabaj parec;positivo
ok comp;positivo
graci companer;positivo
si comp noch tambi voy sub pas;positivo
tambi revis si bien q parec si hac debat tard qued clar pas companer jos luis ari proced sub document;positivo
noch jos salg d trabaj 6;positivo
bien siet noch companer parec conect;positivo
ok x problem;positivo
buen tard companer perdon lleg tard buen ver qued noch hac debat;positivo
buen companer;positivo
buen noch companer cre usted pod dar inici debat;positivo
reportens porfavor;negativo
buen compit aqui present;positivo
comapner lizbeth chel encontr;negativo
buen noch companer;positivo
dem inici entonc;positivo
list comenzem;positivo
empec pas pon encabez document anad pas si encontr algun inquietud dar conoc;positivo
primer seri ir pestan insert;positivo
encabez seleccion tip d encabez quer;positivo
primer ir fich insert;positivo
recordem pod hac el document list darn cuent icon insert barr herramient;positivo
lueg escoj opcion encabez dec companer;positivo
general pestan insert siempr opcion world;positivo
asi eleg tip encabez ir utiliz dar clic maner desplieg document pod ingres text ir utiliz encabez;positivo
igual acuerd companer;positivo
dar enter list encabez;positivo
senal prof deb tambi dar vist previ document ver si qued dec;positivo
exact companer tambi deb ten cuent adem senal encabez aparecer tod hoj document ciert companer;positivo
si comienz final aparec;positivo
dat encabez;positivo
tambi opcion aparecer nuev fich tod herramient realiz modif grafic encabez;positivo
cre tod hoj document aparec encabez pie pagin acuerd;positivo
verd;positivo
mas agreg companer acerc encabez proced pie pagin;positivo
ciert;positivo
part;positivo
part tambi;positivo
cre mejor presentacion;positivo
diaposit;positivo
si diaposit mejor;positivo
acuerd hac el grafic si posibl;positivo
buen ide;positivo
parec si noch trat hac apen sub pagin pod observ dar critic proced sub eva;positivo
mmm si acuerd;positivo
oblig pas ocup hac posibl;positivo
acuerd;positivo
hoy mism sub;positivo
entend tambi deb sub prectic 9 conjunt pas;positivo
practic cre mejor word pas pow point;positivo
asi pens mism junior klu;positivo
sii word;positivo
entonc asi qued realic pas sub depu ver mejor present el;positivo
hac posibl comp sub hoy mism pas porq practic sub;positivo
si despu ver mejor sub;positivo
ok comp much graci;positivo
cre deb sub practic unic insert nombr person falt;positivo
x problem;positivo
tampoc;positivo
entonc sol seri aument nombr dem cre q estari list;positivo
si sol dec sub pas encabez pie pagin;positivo
tampoc inconvenient companer porfavor insert nombr q faltam;positivo
asi;positivo
hac pas manan manan dec jos luis ari sub;positivo
list;positivo
bien comp asi qued;positivo
ok comp much graci;positivo
ok companer manan cualqui cos avis;positivo
graci tiemp dedicacion manan;positivo
buen noch companer;positivo
favor companer corrij apell agurt much graci;positivo
ok comaper disculp corrig;positivo
parec bien ningun problem va sub trabaj hoy plaz sub practic;positivo
ok jos;positivo
buen trabaj realiz companer felic;positivo
buen noch comenzam sab form part acertij vecin cas mascot beb cigarrill;positivo
hol miguel angel graci gener;positivo
graci ingenier;positivo
adjunt solucion obtenid respect ejercici;positivo
cas empec consider posicion dad cad cas despu color cas mascot beb cigarrill;positivo
graci cristin cuentem comunic miguel angel ped hac favor;positivo
si ing miguel angel contact companer grup logr contact;positivo
buen noch ing duni in jar roa companer corre contact segu trabaj;positivo
companer buen dias;positivo
parec si manan 8 pm lin inici primer interaaccion compart plir personal;positivo
ok parec bien;positivo
companer buen tard confirm propon hor pod cas pod conect yo lun viern part 9 pm;positivo
hoy 8 pm bien;positivo
entorn personal aprendizaj ples entend form concret entend aprend context aprend dec refer interrog aprend hac aprend aprend dec conjunt herramient fuent informacion conexion activ cad person utiliz form asidu aprend;positivo
companer favor si exist observ aport favor dec mejor trabaj pul trabaj final;positivo
companer deb hac el invitacion tutor ver trabaj realiz cas contrari not;positivo
tutor miembr grup acab unir el;positivo
estar companer compart plir;positivo
hol tod cre seri interes cambi imag mur dec;positivo
paisaj talvez;positivo
hol comp sal trabaj manan pon dia grup salud contact p;positivo
hol companer estar deb empez hac document envi el hab hor pod interactu elabor document salud companer;positivo
q parec lun 28 part 19h00;positivo
buen hor esper pod;positivo
pil companer 30 envi plir grup;positivo
q deb hac jef grup secretari;negativo
secretari envi document plir jef companer aristid;positivo
elabor plir global;positivo
mas aport mia;negativo
esper manan aport dem companer;positivo
companer si aport deb realiz inform;positivo
companer deb feri todavi viaj lleg 2 tard cas dia manan 30 diciembr pod encarg gener document 3 plir si revis aport bas el ejempl dentr plataform confirm si acept propuest mas men 3 tard sent trabaj pues contact hor si des ver aqui salud;positivo
pod confiarn manan ultim dia mas bien colabor aport plir definicion secretari envi document medi dia;negativo
ok entonc 10 manan voy intent complet tare graci;positivo
companer adjunt plir;positivo
mas arrib anadi archiv;positivo
definicion plir personal learning enviroment ambient personal aprendizaj caj herramient toolbox digital cubr activ gener organiz compart conten lin plir pued consist blogs wikis feeds rss almacen nub pagin web siti almacen archiv siti pod ser cre manten person individu grup person;positivo
graci tiemp companer;positivo
companer olvid hac coevaluacion autoevaluacion dia hoy 4 ener pil;positivo
estudi;positivo
autoevaluacion mism coevaluacion hoj marc 1 2 3 4 5 sol hoj companer;positivo
cre bimestr pas igual;positivo
avis si entend mal;positivo
broth evalu cad integr grup pil ahi;positivo
razon cad hac toc pon nombr companer evalu el har qued ano gggggg;positivo
jajajaj pil ahi 2 jajaj;positivo
hol buen noch;positivo
hol buen noch parec si port coloc imag relacion asignatur parec;positivo
buen noch q parec imag port grup ide;positivo
buen dias si gust tambi agrad imag q opin;positivo
buen dia companer q solucion ejercic esper q bien part aun esoy termin esper noch envi el link manan pod realiz chat bimestr anterior pod sub trabaj grup parec graci exelent dia;positivo
buen dias companer si parec bien igual maner hoy noch compart link deb qued acuerd manan q hor realiz chat entonc envi trabaj buen dia;positivo
chever tod dos companer facilit link googl trabaj;positivo
buen dia companer esper mas tard noch envi link compar ejercici pod sub grup;positivo
buen dias companer favor pod confirm si hoy pod hac chat grupal revis tem trabaj colabor;positivo
valeri fiall companer escrib;positivo
companer tambi hac port red neuron fond alan turing;positivo
igual q anterior imag bonit disen felicit;positivo
karin mil garci lind disen;positivo
planificacion platic compart form cad uno solucion ejercici 513;neutro
companer solucion problem q metod utiliz;positivo
use comprobacion haci delant propagacion restriccion;positivo
libr bas tambi recomend acertij zebr;positivo
acab revis parec bien aunqu hiz format tod form graci aport;positivo
companer;positivo
cad particip grup utiliz mism metod pars resolv problem satisfaccion restriccion aunqu cad utiliz logic diferent llev obten mism respuest;positivo
clar lleg mism result aqui link googl driv;positivo
link solucion problem plant;positivo
link encontr archiv solucion ejercici;positivo
buen companer termin salud;positivo
graci invitacion unir yo grup parec si hac port relacion nombr asignatur;negativo
graci usted profesor si buen ide port;positivo
hol chic esper encontr bien conoc bimestr toc realiz trabaj grupal 4 nuev tutor subi activ deb realiz favor confirm si hac graci;positivo
hol ani activ cre carpet googl driv compart el segun entend;positivo
si compart el comput siti web vicevers;positivo
salud companer van anim olvid coment medi salud;positivo
buen noch chic estar uds sab realiz activ recomend algui algun inconvenient pod ir el solucion pod desarroll el ahor maner conjunt;positivo
coment part mia tub inconvenient cre cuent googl driv;positivo
list ani instal googl driv;positivo
cont cre abiert comput internet;positivo
termin instal aplicacion googl driv incovenient algun;positivo
ok chic ahor cre sub document googl driv ver si aparec pc vicevers;positivo
cre carpet googl driv respect nombr viceversaesper q termin sincroniz pc;positivo
si ani cre pod visualiz dos siti;positivo
list ambos archiv estar sincroniz carpet pc pagin principal googl driv;positivo
ok chic activ realiz cad realiz ningun inconvenient ahor armar document solucion activ;positivo
tani buen dias mil graci compartirn tare ahor si dem podr opin adel anim;positivo
graci buen dias licenci si pues principi acomplej logr hac el;positivo
companer abrir enlac trabaj sal blanc ser pod visualiz;negativo
pues si abri sali archiv;positivo
mism pas trabaj pod visualiz noc;negativo
clar mism si pued ser voy ver hac graci companer;negativo
igual trat abrir trabaj graci tambi;positivo
companer problem q q entrar comput ahi si;positivo
ah graci companer har entonc graci;positivo
bien trabaj companer tani chasi sol q falt cre carpet dentr guardu mas archiv vez complet seri excelent;negativo
excelent companer bonit motiv port;positivo
bien port ahor si resolv ejercici propuest;positivo
favor ayud mails integr compart archiv;negativo
allison comparti archiv;positivo
favor revis coment;positivo
edisson comparti archiv favor revis compart revis;positivo
favor alisson tambi comport archiv revis pod tres decid archiv ir usar;positivo
comparti companer archiv revis favor;positivo
hol pued observ corre particip deb hac clic particip dentr eva;positivo
parec complet buen ide;positivo
si buen mayor part comun graci evaluacion distanci;positivo
favor companer indic si pod realiz encuest;positivo
hol companer favor podri conect pod empez;positivo
present;positivo
revis pund document;positivo
favor edison ingres tambi document;positivo
dec allison pued ver document;positivo
ir robot jug futboll;positivo
med rendimient;positivo
document dec eficient jueg buen jugador rendimient;positivo
parec bien;positivo
edison ver public;negativo
parec si comentam documet;positivo
exact;positivo
robot;positivo
ir part alison;positivo
cre orde;positivo
primer robot;positivo
edison comentari robot;positivo
med rendimient seri part gan met favor;positivo
ami tambi parec teni libr;positivo
nodeberi cambi el;positivo
cambi;positivo
edison;neutro
ok entoncs fijem otor objet;positivo
buen punt alison;positivo
alison mediriam eficient jueg;negativo
ser cuantit;positivo
llegariam mism punt evaluacion;positivo
parec podri ser tambi part jug;positivo
numer part jug cad integr;positivo
entoz seri numer part jug;positivo
mejor seri pon el medi rendimient bas tiemp robot camp jueg;positivo
entonc seri;negativo
favor pant quedari;negativo
numer part jug period ano;positivo
pues med rendimient reflej exit;positivo
agent;positivo
ok;positivo
qued dec alison dic edison;negativo
faltarii yun complement part perd;negativo
siempr vay gan;positivo
ok;positivo
perec numer part gan tiemp dedic cad partidoy part perd;positivo
ose dej tabl;positivo
si pas;positivo
cre gan desgast;positivo
ver lleg mism conclucion;positivo
numer part gan eficienciaporpartidonumer part perd;positivo
si;positivo
numer part gan tiemp dedic cad partidoy numer part perd;positivo
ok;positivo
eficient part supon termin jueg rendimient agent;positivo
med;positivo
mid eficient;negativo
cuantit;positivo
eficient actu robot entorn;positivo
med rendimient seri med si consum 10 wats energi cad part mas;positivo
favor concret;negativo
ok comp continu entorn;positivo
revi;positivo
qued cambi edison hac document final ser secretari;positivo
encarg cambi el;positivo
jajajaj enseri hac q;positivo
coloc document modific;positivo
entoz edison favor ingres document segu cambi;positivo
document seleccion comprob argument refut cad respuest asign 7 noviembr 13 noviembrec;positivo
si ked mism;negativo
razon deci deb concret;negativo
qued;negativo
numer part gan;positivo
entoz pon;positivo
calv principal ver traj entorn;positivo
dec si;negativo
favor levant yo 430;negativo
numer part gan numer part perd ked med rendimient;positivo
nin hac desayun;negativo
ir entorn;positivo
sol canch futbol;positivo
alison favor entoz di cual;negativo
quedari;negativo
numer part gan tiemp cad part numer part perd;positivo
asi ked;positivo
entorn person;positivo
desarroll;positivo
chanch futbol correct;positivo
alison acuerd;positivo
logic doctor va cur;positivo
clar chanch futbol arco;positivo
qued asi;negativo
hospital establec adem pacient personal tambi pod hospital;positivo
diagnost medic result hac medic hospital;positivo
entorn dem;positivo
cas robot mov canch;positivo
ok pon ejempl canch basket cre estir inclu aro;positivo
si;positivo
entoncs si habl canch futbol estar arco;positivo
si;positivo
futbol seri futbol arco;positivo
ok trat dec si pon canch futbol estar arco;positivo
seri suentorn;positivo
exact;positivo
ok continu actuador;positivo
accion jug futbol;positivo
acuerd alison;negativo
qued 20 minut;negativo
favor companer;negativo
canch futbol;positivo
ok actuador;positivo
dec;negativo
pens deb ten orientacionreconoc patron inteligent artificial;positivo
ose;negativo
exact;positivo
inteligent artificial permit razon toamr decicion;positivo
tambi parec sensor;positivo
necesit disposit visualizacion;positivo
disposit orientacion;positivo
actuador;positivo
disposit hac robot muev canh;positivo
podri ser;negativo
supon ahi seri inteligent artificial;positivo
robot hac sol;positivo
disposit visualizacion orientacion robot;positivo
si acuerd;positivo
sol dos;negativo
disposit visualizacion orientacion;positivo
tambi ten braz man articul;positivo
perd equilibri;positivo
si razon edison;positivo
habl robot;positivo
ok qued disposit visualizacion orientacion;positivo
ir sensor;positivo
ked;negativo
disposit visualizacion orientacion;positivo
disposit visualizacion orientacionpiern pie articul braz man articul;positivo
pued ked asi;negativo
dec habl robot;positivo
ahi libr ejempl robot seleccion component;positivo
entoz pong edison;positivo
braz man articul;positivo
ok;positivo
siiii;positivo
jajaj;positivo
sensor;positivo
ok;positivo
cam sensor tactil sensor movimient sensor veloc acelerometr;positivo
ked asi estar acuerd;negativo
si;positivo
ok;positivo
ok;positivo
ok consult;positivo
edison ira modific document;negativo
mism keri dcir;negativo
borr neceari;negativo
modific el direct;positivo
ir explic lleg cponclusion;positivo
si direct;positivo
ok entoncs hac mism archiv reenvi;positivo
adorn el caratul;positivo
cad unto;positivo
nombr particip grup;positivo
parec si dej ahi;positivo
hac;negativo
ok;positivo
entoz coment document revis manan;positivo
termin revis;positivo
manan;positivo
entreg maxim doming;positivo
cre si conectam 8 pod termin;positivo
anticip pod sab dia matrimoni herman;negativo
manan pod trabaj noch;negativo
entoz doming 8 manan;positivo
si list comp dia;positivo
ok;positivo
comentari document;negativo
edison trat empez document final cartul;positivo
qued hoy;positivo
termin pront;positivo
ok companer;positivo
buen noch;positivo
igual;positivo
hol companer favor pod conect el;positivo
hol pabl mil graci compat tare promov asi interaccion companer;positivo
graci sayr bien;positivo
buen noch sayr leon favor realiz discusion ejercici much graci;positivo
buen noch pabl;positivo
gustari termin dos companer dad senal vid moment desarroll ejercici;negativo
si pabl companer respond ningun mensaj dej;negativo
ok entonc analic;positivo
revis ejercici vez;positivo
ver desarroll embarg;positivo
revis buen correct resolucion manual trabaj exact manual;positivo
dec tod conclusion bas pist libr posibl comput pued leer;positivo
parec si explic va trabaj;positivo
clar explicat mejor pod enterd refi graci;positivo
logr hac ahor necesit abstra pued entend maquin empezari ejempl reduc matriz arregl;positivo
despu defin variabl defin;positivo
despu verl domini tambi ver qeu correct;positivo
ahor restriccion;positivo
hi entrar dec maquin ejempl n pued ver tod matriz ver el logic sac conclusion hech acces suces secuencial simultane comoun vit human;positivo
ahor respect arestriccion facil defin ingln cas roj dec as restriccion facil;positivo
entonc matemat restriccion obvi estar defin document mio si pued ver;positivo
entonc realiz bas restriccion recorr maquin hari cad abrir el embarg encuentr restriccion hombr fum chesterfields viv cas lad hombr zorr deteng defin matemat restriccion hac entend;positivo
ahor habl inteligent artificial necesit defin problem funcion algoritm busqued cas algoritm busqued local;positivo
ok habl resolv ejercici acuerd busqued record deb implement agent inteligent aprend guard informacion;positivo
si revis algoritm busqued local solucion nod si combinacion form arregl;positivo
array;positivo
clar form aprend just restriccion si fij ejercici ir ver plante cas funcion arregl color funcion arregl nacional funcion asi;positivo
entonc unic hac ir simul hari recorr maquin compar restriccion;positivo
entonc acuerd cad restriccion agent guard cad informacion anad;positivo
clar;positivo
necesit restriccion;positivo
embarg razon restriccion fij pued ser aprend segun sig desarroll algoritm;positivo
razon;positivo
ahor pregunt subs definiri matemat restriccion qeu fij;positivo
acuerd cad restriccion informacion guard ejercici bas busqued vuelt atra regres ver informacion variabl pod registr dem;positivo
si hac manualemnt;positivo
programari resticcion bas planteamient matemat;positivo
ahi eta cos;positivo
planteamieent;positivo
hech ejercici dec resolv ejercici sin planteari;positivo
restriccion fij programari dec busqued vuelt atra colocari informacion if verific si exist valor tendri pon el segu verific si valor correct acuerd resctriccion;positivo
deb segu pon valor dar opcion presentari ir tom cad opcion lleg respuest correct;positivo
estim sayr resolvi mediant formulacion habi convers ayer disculpam hor favor pas dia trabaj ejercici public grup solucion final cualqui comentari dud problem agradec;positivo
list realiz trabaj bimestr;positivo
esper integr companer georg apol gallard;negativo
aqui companerosc hac;positivo
trabaj colabor companer deb debat el deb fij fech hor hac el propong dia juev 17h00;positivo
companer pin realiz chat tres ahy hac debat diari final pas inform debat mas practic diferent tiemp asi realiz pas trabaj;positivo
companer sab chat ir empez comunicarn trabaj;positivo
recuerd interaccion deb qued evidenci facebook consiguient ped hac el chat facebook si utiliz favor colg archiv resum interaccion mil graci;positivo
ok ing;positivo
acuerd ing;positivo
deb ir plant restriccion;positivo
deb consider segun problem plat 14 restriccion;positivo
restriccion deb ir coloc cad casill;positivo
cigarrill malbor lark;positivo
propong vay resolv pas pas lleg respuest solicit;positivo
seri correct;positivo
prosig;positivo
cas verd beb caf respuest correct;positivo
aport companer;positivo
correct companer;positivo
buen trabaj list colabor grup;positivo
segun analisis seri respuest;positivo
georg buen dias graci infinit revisar;positivo
graci infinit compart tare;positivo
aui dej link chat grupal interactuar;positivo
companer hac ahor favor lid secretari inform salud;negativo
salud georg deb public trabaj final googl docs;positivo
hol marc mil graci gentilez;positivo
usted tambi ingenier salud;positivo
estim companer perdon aun qued trabaj grup verd termin;negativo
companer bienven grup trabaj 13;positivo
jhon dos cos favor enviel corre companer equip pedirl unar b felicit lind port;positivo
companer vez desarroll ejercici 513 maner individual favor compart diferent estrategi utiliz desarroll grupal;positivo
buen tard companer esper aport resolucion acertij einst;positivo
respect aport primer hac agrup detall form part acertij vecin cas mascot beb cigarrill;positivo
tom cuent exist 5 cas 5 nacional diferent t tip cigarr diferent beb diferent mascot diferent;positivo
vez sac dat acertij proc coloc tabl encabez color cas mascot beb cigarrill encabez fil nacional ingles espanol norueg ucranian japon;positivo
vez realiz tabl deduc siguient norueg viv primer cas viv medi tom lech beb ucranian norueg sol qued caf zum naranj agu puest norueg viv primer cas ningun izquierd viv verd adem viv junt cas azul roj viv ingles norueg qued marfil amarill;positivo
duen cas verd tom caf ucranian sol pued viv cas marfil amarill azul pon tambi tabl mism motiv norueg beb caf asi quit posibil;positivo
segun clav duen cas verd tom caf puest sab ucranian tom ingles sol pud beb lech zum naranj agu adem duen cas amarill fum kools britan sol pued fum chesterfield lucky strik winston;positivo
fum lucky strik beb zum naranj ucranian beb zum naranj tampoc fum lucky strik parliament qued kools chesterfield winston fum lucky strik beb zum naranj japon beb zum naranj qued lech agu;positivo
person fum winston caracol japon caracol perr qued zorr caball cebr espanol perr fum winston parliament qued chesterfield lucky strik kools;positivo
jhon buen dias bien razon esperm opinion dem integr equip;positivo
duen cas amarill fum kools japon qued cas verd marfil azul norueg viv primer cas amarill entonc tambi fum kools puest viv amarill ucranian sol pued viv marfil azul;positivo
puest cas roj amarill estar ocup espanol viv verd marfil azul person caball viv junt fum kools norueg caball perr qued caracol zorr cebr caracol fum winston sol pued ten zorr cebr;positivo
cambi estrategi intent pon orden cas norueg viv primer cas amarill adem viv junt cas azul sol pued ser segund cas medi beb lech verd tom caf adem verd derech cas marfil kools fum cas lad guard caball caball deb cas marfil entonc verd estari posicion 4 ultim cas seri roj;positivo
person caball viv cas qued lad fum kools caball vivir cas 3 marfil puest espanol perr viv cas azul duen cas verd tom caf ucranian viv cas 4 sin 2 japon pued viv cas marfil verd igual espanol;positivo
